,precision,recall,f1-score,support,model
0,0.9519230769230769,0.20463001240181894,0.3368492684586594,2419.0,RF
1,0.11008325624421832,0.9049429657794676,0.19628865979381444,263.0,RF
accuracy,0.273303504847129,0.273303504847129,0.273303504847129,0.273303504847129,RF
macro avg,0.5310031665836475,0.5547864890906433,0.26656896412623693,2682.0,RF
weighted avg,0.8693712973412202,0.273303504847129,0.32306573375364295,2682.0,RF
0,0.9442836468885673,0.5394791236047953,0.6866614048934491,2419.0,XGB
1,0.14307692307692307,0.7072243346007605,0.2380038387715931,263.0,XGB
accuracy,0.5559284116331096,0.5559284116331096,0.5559284116331096,0.5559284116331096,XGB
macro avg,0.5436802849827451,0.6233517291027779,0.4623326218325211,2682.0,XGB
weighted avg,0.8657163954484245,0.5559284116331096,0.642665528722663,2682.0,XGB
